epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,50484.5,0.38016,0.0673,0.04893,0.25848,0.88607,0.994,0.99101,0.99493,0.96409,0.99131,0.98592,0.99463,0.99328,0.31474,0.0477,0.03104,0.19214,0.74738,0.0005546,0.0005546,0.0005546
75,50941.6,0.37611,0.0661,0.04795,0.25657,0.88438,0.99201,0.99169,0.99489,0.96171,0.99129,0.98365,0.99461,0.99353,0.32819,0.047,0.03389,0.19308,0.75351,0.0005348,0.0005348,0.0005348
76,51364.4,0.37433,0.06413,0.04686,0.25413,0.88569,0.99297,0.99136,0.99492,0.96633,0.99129,0.98386,0.99466,0.99334,0.30043,0.04748,0.03378,0.18575,0.74899,0.000515,0.000515,0.000515
77,51821.7,0.37029,0.06298,0.04739,0.25042,0.87865,0.99555,0.99069,0.99493,0.96374,0.99064,0.98561,0.9946,0.99334,0.3146,0.04912,0.03379,0.18836,0.74441,0.0004952,0.0004952,0.0004952
78,52287.1,0.3691,0.06236,0.04745,0.25089,0.8783,0.99399,0.98911,0.9949,0.95847,0.98964,0.9849,0.99464,0.99326,0.32858,0.0472,0.03189,0.18971,0.7458,0.0004754,0.0004754,0.0004754
79,52741.7,0.36509,0.06309,0.04676,0.24965,0.87957,0.993,0.99008,0.9949,0.96514,0.99161,0.98196,0.9945,0.99293,0.29823,0.05199,0.02973,0.18196,0.74394,0.0004556,0.0004556,0.0004556
80,53220.6,0.36899,0.06374,0.04432,0.25176,0.88241,0.99432,0.98997,0.99492,0.96589,0.98902,0.98438,0.99455,0.99323,0.29853,0.05189,0.03062,0.18079,0.74674,0.0004358,0.0004358,0.0004358
81,53692.1,0.36044,0.0602,0.04597,0.24702,0.87922,0.9923,0.99269,0.9949,0.96633,0.98671,0.98724,0.99453,0.99344,0.30186,0.05097,0.0301,0.18332,0.74199,0.000416,0.000416,0.000416
82,54172.6,0.35865,0.05881,0.04417,0.24563,0.87606,0.99228,0.99136,0.99488,0.96609,0.98687,0.98604,0.99441,0.99307,0.30853,0.05061,0.02989,0.18578,0.74245,0.0003962,0.0003962,0.0003962
83,54643.6,0.35635,0.06017,0.04263,0.2424,0.87429,0.99274,0.99136,0.99488,0.96423,0.98835,0.98686,0.99448,0.99294,0.31193,0.04784,0.02958,0.18932,0.74236,0.0003764,0.0003764,0.0003764
84,55104.2,0.35164,0.05794,0.04347,0.24182,0.87395,0.99317,0.99202,0.99491,0.96776,0.989,0.98653,0.99469,0.99319,0.30354,0.04677,0.03011,0.1855,0.74246,0.0003566,0.0003566,0.0003566
85,55542.7,0.35456,0.05648,0.04195,0.23915,0.87585,0.99289,0.99235,0.99492,0.96708,0.98902,0.98795,0.9947,0.99338,0.31289,0.04572,0.02895,0.18707,0.74451,0.0003368,0.0003368,0.0003368
86,56015.6,0.34816,0.05956,0.04237,0.23759,0.87488,0.99137,0.99321,0.99492,0.96542,0.99044,0.98371,0.99468,0.99362,0.31712,0.04687,0.03009,0.18669,0.74272,0.000317,0.000317,0.000317
87,56467.6,0.34655,0.05706,0.04298,0.23392,0.87117,0.9917,0.99279,0.99492,0.96785,0.99011,0.98404,0.99447,0.99326,0.31035,0.04932,0.03004,0.18332,0.74488,0.0002972,0.0002972,0.0002972
88,56938.9,0.34239,0.05334,0.03916,0.23303,0.87159,0.993,0.99202,0.99492,0.96836,0.98967,0.98691,0.9947,0.99346,0.30414,0.04544,0.03032,0.18063,0.74396,0.0002774,0.0002774,0.0002774
89,57406.6,0.34377,0.05625,0.04034,0.2357,0.87363,0.99598,0.98932,0.99491,0.96935,0.99197,0.98528,0.99467,0.99365,0.29727,0.04525,0.02954,0.17829,0.74033,0.0002576,0.0002576,0.0002576
90,57858.6,0.33896,0.0544,0.04068,0.23337,0.87107,0.99599,0.98969,0.99492,0.96979,0.9913,0.98489,0.99462,0.99362,0.2926,0.04533,0.02951,0.17621,0.73949,0.0002378,0.0002378,0.0002378
91,58420.1,0.29014,0.03696,0.02613,0.18872,0.84169,0.99334,0.99236,0.99493,0.96954,0.98847,0.98737,0.99472,0.99361,0.29626,0.04459,0.02855,0.17835,0.73877,0.000218,0.000218,0.000218
92,58917.6,0.28291,0.03674,0.02728,0.18668,0.84067,0.99269,0.99273,0.99492,0.96937,0.98737,0.98741,0.99465,0.99326,0.29619,0.04613,0.02838,0.17577,0.74109,0.0001982,0.0001982,0.0001982
93,59368.2,0.28303,0.03504,0.02652,0.18612,0.84065,0.99268,0.99233,0.99493,0.96958,0.98694,0.9887,0.99459,0.99331,0.29883,0.04543,0.02853,0.17638,0.74381,0.0001784,0.0001784,0.0001784
94,59848.2,0.27419,0.03369,0.02567,0.18068,0.83598,0.99137,0.9934,0.99492,0.97031,0.9877,0.98796,0.9946,0.99351,0.29664,0.04542,0.02867,0.1756,0.74385,0.0001586,0.0001586,0.0001586
95,60290,0.27132,0.03201,0.02414,0.17936,0.8369,0.99269,0.99292,0.99492,0.97025,0.98787,0.98803,0.99461,0.99359,0.30304,0.04562,0.02857,0.17661,0.74303,0.0001388,0.0001388,0.0001388
96,60770.9,0.26925,0.03374,0.02448,0.1777,0.83591,0.99268,0.99235,0.99492,0.97014,0.98787,0.98703,0.9946,0.99355,0.30255,0.04556,0.02857,0.17556,0.74304,0.000119,0.000119,0.000119
97,61238.6,0.27233,0.03526,0.02472,0.1787,0.84183,0.99236,0.99275,0.99493,0.97078,0.99018,0.98604,0.99461,0.99363,0.29842,0.04511,0.02876,0.17528,0.74313,9.92e-05,9.92e-05,9.92e-05
98,61720.2,0.26801,0.03348,0.02537,0.17419,0.83501,0.99302,0.99235,0.99493,0.97177,0.989,0.98657,0.99461,0.99356,0.29353,0.04489,0.02914,0.1721,0.74099,7.94e-05,7.94e-05,7.94e-05
99,62190.8,0.26597,0.03212,0.02396,0.17439,0.83574,0.99302,0.99263,0.99492,0.97112,0.98803,0.98765,0.99466,0.99361,0.2987,0.04444,0.02914,0.1732,0.74116,5.96e-05,5.96e-05,5.96e-05
100,62629.7,0.26311,0.03185,0.02319,0.17288,0.83482,0.99301,0.99228,0.99492,0.97056,0.98882,0.9867,0.99466,0.99364,0.30227,0.04473,0.02887,0.17399,0.74197,3.98e-05,3.98e-05,3.98e-05
